feature,importance,std
units_passed,0.19973479418993156,0.010697252091300109
units_registered,0.07440072920055504,0.010720962051998297
tuition_up_to_date,0.04525908346401065,0.007238260086013102
assessments_completed,0.025206253958881476,0.008490445503553943
average_mark_pct,0.0165845627595387,0.009338828777700404
outstanding_fee_balance,0.002348362317014067,0.0058480736914533794
scholarship_support,0.0019672007062394212,0.006276057250388804
