feature_set,input_count,model_feature_count,accuracy,balanced_accuracy,macro_f1,weighted_f1,dropout_recall
C — engineered compact inputs,7,10,0.7049952452872407,0.668942948337494,0.6623234335022072,0.7166081061196232,0.6525658860808408
B — compact raw inputs,7,7,0.700192985400235,0.6628059431786719,0.6567996465251681,0.7139721404004645,0.6138418734059818
A — wider leakage-safe Semester 1,13,13,0.6990650396758803,0.6558916225302037,0.6516186330739936,0.7104868446872955,0.6525465646495092
