model,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,dropout_recall,dropout_recall_std
Support Vector Machine,0.6996236185361877,0.023568359474261127,0.6770439371844729,0.02151836846488525,0.6637247480655522,0.02270354122558302,0.7146275441869654,0.02015316823665089,0.6235296390756627,0.03972326820389261
Logistic Regression,0.7049952452872407,0.016477815301198254,0.668942948337494,0.015529175136644771,0.6623234335022072,0.015659246708561943,0.7166081061196232,0.012879495832254378,0.6525658860808408,0.02418162281356203
Extra Trees,0.7047111611887582,0.01872028800609395,0.660907970919271,0.01896382477702568,0.6570359871281855,0.01910342773995724,0.712746938362956,0.016890510678750848,0.6912628487518356,0.027782256482588467
Random Forest,0.7024520732944965,0.014909358464435224,0.6417787150874921,0.012695798997558048,0.6423908751899623,0.01340493063191923,0.7047714779010225,0.013507023946639322,0.7071025581575083,0.02787514998357018
Histogram Gradient Boosting,0.6798448125684239,0.016222065624265543,0.6296800726398158,0.01904892847024659,0.6270353936108192,0.018050139452905654,0.6866744400621122,0.01590452882454234,0.6869039338434192,0.03303838115163775
