class,precision,recall,f1,support
Dropout,0.7340425531914894,0.7288732394366197,0.7314487632508834,284.0
Enrolled,0.3813559322033898,0.2830188679245283,0.3249097472924188,159.0
Graduate,0.7958762886597938,0.8733031674208145,0.8327939590075513,442.0
